ID,director_facebook_likes,cast_total_facebook_likes,num_voted_users,num_user_for_reviews,imdb_score,movie_facebook_likes,Revenue,Budget,profit,response
343,115,15708,177653,279,6.7,34000,122915111,50000000,72915111,Profit
344,96,20007,146766,178,6.9,0,309979994,150000000,159979994,Profit
345,124,22004,387436,892,7,71000,286168572,120000000,166168572,Profit
346,85,3958,296787,2192,7,0,170764026,25000000,145764026,Profit
347,103,19085,544884,733,8.3,30000,1063171911,200000000,863171911,Profit
348,110,12760,300542,378,7.1,0,457696359,80000000,377696359,Profit
349,122,4738,612060,1518,8.1,21000,171600000,25000000,146600000,Profit
350,117,33154,102747,316,5.5,0,156505388,95000000,61505388,Profit
351,110,23525,507063,881,8.3,35000,28262574,1300000,26962574,Profit
352,109,34011,304318,463,6.7,52000,173930596,40000000,133930596,Profit
353,96,15662,117606,217,6.4,0,300400432,44000000,256400432,Profit
354,138,32355,200022,1240,5.8,71000,362637473,125000000,237637473,Profit
355,108,23296,219091,592,7.3,12000,25836616,19000000,6836616,Profit
356,79,1594,111117,245,7.1,13000,48428063,30000000,18428063,Profit
357,132,1112,244566,597,6.8,0,99318987,66000000,33318987,Profit
358,134,16281,323353,527,7.9,65000,9.50E+07,55000000,4.00E+07,Profit
359,91,37142,164148,168,7.1,28000,358375603,85000000,273375603,Profit
360,120,10555,479453,696,7.7,74000,224920315,40000000,184920315,Profit
361,153,37321,383591,620,8.1,86000,122126687,46000000,76126687,Profit
362,162,36928,301279,589,7.7,12000,84785914,65000000,19785914,Profit
363,128,29824,174248,263,7.1,0,113280098,70000000,43280098,Profit
364,184,5401,254111,1999,6.1,0,449220945,140000000,309220945,Profit
365,112,19428,258186,322,7.1,24000,188441614,50000000,138441614,Profit
366,152,4270,292022,1103,7.7,10000,172989651,92000000,80989651,Profit
367,88,309,27918,155,7.2,33000,246233113,99000000,147233113,Profit
368,122,43499,256928,288,6.9,0,311312624,85000000,226312624,Profit
369,98,43286,150618,195,7.3,28000,585178928,135000000,450178928,Profit
370,111,28643,166610,211,6.4,0,73762516,45000000,28762516,Profit
371,99,4863,45394,72,6.5,19000,140470746,33000000,107470746,Profit
372,124,52547,184637,498,4.9,29000,698491347,68000000,630491347,Profit
373,196,17944,381672,1694,7.2,0,497409852,175000000,322409852,Profit
