0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Finding Dory (2016),Status Released,Original Language English,Runtime 1h 43m,"Budget $200,000,000.00","Revenue $721,945,629.00",Homepage http://movies.disney.com/finding-dory,Release Information,Ellen DeGeneres,Albert Brooks,Diane Keaton,Eugene Levy,Ty Burrell,Idris Elba,Full Cast & Crew,
The Avengers (2012),Status Released,Original Language English,Runtime 2h 23m,"Budget $220,000,000.00","Revenue $1,518,594,910.00",Homepage http://marvel.com/avengers_movie/,Release Information,Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth,Scarlett Johansson,Jeremy Renner,Full Cast & Crew,
Money Monster (2016),Status Released,Original Language English,Runtime 1h 38m,"Budget $27,000,000.00","Revenue $41,008,532.00",Homepage -,Release Information,George Clooney,Julia Roberts,Jack O'Connell,Caitriona Balfe,Dominic West,Lenny Venito,Full Cast & Crew,
Mike and Dave Need Wedding Dates (2016),Status Released,Original Language English,Runtime 1h 38m,Budget -,Revenue -,Homepage http://www.foxmovies.com/movies/mike-and-dave-need-wedding-dates,Release Information,Zac Efron,Adam DeVine,Anna Kendrick,Aubrey Plaza,Sam Richardson,Stephen Root,Full Cast & Crew,
The Hateful Eight (2015),Status Released,Original Language English,Runtime 2h 47m,"Budget $44,000,000.00","Revenue $155,760,117.00",Homepage http://thehatefuleight.com/,Release Information,Samuel L. Jackson,Kurt Russell,Jennifer Jason Leigh,Walton Goggins,Demián Bichir,Tim Roth,Full Cast & Crew,
Eye in the Sky (2015),Status Released,Original Language English,Runtime 1h 42m,"Budget $13,000,000.00","Revenue $32,848,185.00",Homepage -,Release Information,Helen Mirren,Aaron Paul,Alan Rickman,Iain Glen,Barkhad Abdi,Phoebe Fox,Full Cast & Crew,
Run All Night (2015),Status Released,Original Language English,Runtime 1h 54m,"Budget $50,000,000.00","Revenue $71,561,644.00",Homepage -,Release Information,Liam Neeson,Ed Harris,Joel Kinnaman,Boyd Holbrook,Bruce McGill,Génesis Rodríguez,Full Cast & Crew,
Taken 3 (2015),Status Released,Original Language English,Runtime 1h 49m,"Budget $48,000,000.00","Revenue $325,771,424.00",Homepage http://www.taken3movie.com/,Release Information,Liam Neeson,Forest Whitaker,Famke Janssen,Maggie Grace,Dougray Scott,Sam Spruell,Full Cast & Crew,
Whiplash (2014),Status Released,Original Language English,Runtime 1h 45m,"Budget $3,300,000.00","Revenue $13,993,092.00",Homepage http://sonyclassics.com/whiplash/,Release Information,Miles Teller,J.K. Simmons,Melissa Benoist,Austin Stowell,Jayson Blair,Kavita Patil,Full Cast & Crew,
The Neon Demon (2016),Status Released,Original Language English,Runtime 1h 57m,"Budget $6,000,000.00",Revenue -,Homepage http://theneondemon.com/,Release Information,Elle Fanning,Karl Glusman,Jena Malone,Bella Heathcote,Abbey Lee,Christina Hendricks,Full Cast & Crew,
Blair Witch (2016),Status Released,Original Language English,Runtime 1h 30m,Budget -,Revenue -,Homepage http://www.blairwitch.movie/,Release Information,Corbin Reid,Wes Robinson,Valorie Curry,James Allen McCune,Callie Hernandez,Brandon Scott,Full Cast & Crew,
Alice in Wonderland (2010),Status Released,Original Language English,Runtime 1h 48m,"Budget $200,000,000.00","Revenue $1,025,467,110.00",Homepage http://disney.go.com/wonderland/,Release Information,Johnny Depp,Anne Hathaway,Helena Bonham Carter,Crispin Glover,Mia Wasikowska,Marton Csokas,Full Cast & Crew,
Train to Busan (2016),Original Title 부산행,Status Released,Original Language Korean,Runtime 1h 58m,Budget -,Revenue -,Homepage -,Release Information,Gong Yoo,Ma Dong-Seok,Jung Yoo-mi,Choi Woo-shik,Ahn So-hee,Kim Soo-Ahn,Full Cast & Crew
Ben-Hur (2016),Status Post Production,Original Language English,Runtime 2h 21m,Budget -,Revenue -,Homepage -,Release Information,Jack Huston,Nazanin Boniadi,Morgan Freeman,Toby Kebbell,Rodrigo Santoro,Ayelet Zurer,Full Cast & Crew,
