Title,Studio,Total Gross,Total Theaters,Opening,Opening Theaters,open
8 1/2 (re-issue),Kino,"$98,760*",1,"$11,947",1,4/9/1999
8 1/2 Women,Lions,"$424,123",30,"$92,000",16,5/26/2000
8 Films to Die For (2015),ADF,n/a,11,n/a,11,10/16/2015
8 Heads in a Duffel Bag,Orion,"$3,602,884","1,553","$2,024,516","1,553",4/18/1997
8 Mile,Uni.,"$116,750,901","2,585","$51,240,555","2,470",11/8/2002
8 Million Ways to Die,TriS,"$1,305,114",215,"$609,955",215,4/25/1986
8 Seconds,NL,"$19,623,396",838,"$3,369,037",836,2/25/1994
8 Women,Focus,"$3,098,776",85,"$52,489",3,9/6/2002
800 Bullets,TLA,$866,2,$866,2,10/29/2004
84 Charing Cross Road,Col.,"$1,083,486",24,"$24,350",1,2/13/1987
88 Minutes,Sony,"$17,213,467","2,168","$6,957,216","2,168",4/18/2008
8: The Mormon Proposition,RF,"$100,280",16,"$42,566",16,6/18/2010
8MM,Sony,"$36,663,315","2,370","$14,252,888","2,370",2/26/1999
9,Focus,"$31,749,894","2,060","$10,740,446","1,661",9/9/2009
9 1/2 Weeks,MGM,"$6,735,922",28,"$328,804",28,2/21/1986
9 Songs,Tar.,"$66,853",3,"$13,457",1,7/22/2005
9 to 5,Fox,"$103,290,500",n/a,"$3,966,832",910,12/19/1980
90 Minutes in Heaven,Gold.,"$4,842,699",899,"$2,035,273",878,9/11/2015
95 Miles to Go,Think,"$3,195",2,"$2,203",2,4/7/2006
976-Evil,NL,"$2,955,917",251,"$794,049",251,3/24/1989
99 Homes,BG,"$1,411,927",691,"$32,253",2,9/25/2015
99% - The Occupy Wall Street Collaborative Film,Part.,n/a,n/a,n/a,n/a,9/6/2013
[Rec] 2,Magn.,"$27,766",7,"$8,191",5,7/9/2010
The A-Team,Fox,"$77,222,099","3,544","$25,669,455","3,535",6/11/2010
A.C.O.D.,TFA,"$175,705",42,"$19,001",3,10/4/2013
A.I. Artificial Intelligence,WB,"$78,616,689","3,242","$29,352,630","3,242",6/29/2001
A Aa,BSC,"$2,313,043",115,"$1,213,057",115,6/1/2016
