Movie Name,Status,Language,Runtime,Budget,Revenue,8,9,10,11,12,13,14
Desire (2011),Released,French,1h 43m,"$1,344,000.00",-,DÌ©borah RÌ©vy,HÌ©lÌ¬ne Zimmer,Gowan Didi,Johnny Amaro,Johan LibÌ©reau,Jean-FranÌ_ois Gallotte,Full Cast & Crew
Fifty Shades of Grey (2015),Released,English,2h 5m,"$40,000,000.00","$569,651,467.00",Dakota Johnson,Jamie Dornan,Jennifer Ehle,Eloise Mumford,Victor Rasuk,Luke Grimes,Full Cast & Crew
Divergent (2014),Released,English,2h 19m,"$85,000,000.00","$288,747,895.00",Shailene Woodley,Theo James,Kate Winslet,Miles Teller,Ray Stevenson,Maggie Q,Full Cast & Crew
A Walk Among the Tombstones (2014),Released,English,1h 53m,"$28,000,000.00","$53,181,600.00",Liam Neeson,Dan Stevens,David Harbour,Boyd Holbrook,Adam David Thompson,Razane Jammal,Full Cast & Crew
Cinderella (2015),Released,English,1h 52m,"$95,000,000.00","$542,351,353.00",Lily James,Cate Blanchett,Richard Madden,Helena Bonham Carter,Holliday Grainger,Sophie McShera,Full Cast & Crew
The Purge: Election Year (2016),Released,English,1h 45m,"$10,000,000.00",-,Elizabeth Mitchell,Frank Grillo,Mykelti Williamson,Edwin Hodge,Raymond J. Barry,Ethan Phillips,Full Cast & Crew
Birdman (2014),Released,English,1h 59m,"$18,000,000.00","$103,215,094.00",Michael Keaton,Zach Galifianakis,Edward Norton,Emma Stone,Naomi Watts,Amy Ryan,Full Cast & Crew
Dirty Grandpa (2016),Released,English,1h 42m,"$11,500,000.00","$94,073,028.00",Zac Efron,Robert De Niro,Julianne Hough,Aubrey Plaza,Dermot Mulroney,Zoey Deutch,Full Cast & Crew
The Conjuring (2013),Released,English,1h 52m,"$13,000,000.00","$318,000,141.00",Patrick Wilson,Vera Farmiga,Lili Taylor,Ron Livingston,Hayley McFarland,Mackenzie Foy,Full Cast & Crew
The Wolf of Wall Street (2013),Released,English,3h 0m,"$100,000,000.00","$392,000,694.00",Leonardo DiCaprio,Jonah Hill,Margot Robbie,Kyle Chandler,Rob Reiner,Matthew McConaughey,Full Cast & Crew
Bridget Jones's Baby (2016),Post Production,English,2h 3m,"$35,000,000.00",-,Colin Firth,RenÌ©e Zellweger,Patrick Dempsey,Sally Phillips,Jim Broadbent,Gemma Jones,Full Cast & Crew
Transformers: Age of Extinction (2014),Released,English,2h 45m,"$210,000,000.00","$245,500,000.00",Mark Wahlberg,Stanley Tucci,Nicola Peltz,Jack Reynor,Li Bingbing,Sophia Myles,Full Cast & Crew
Thor: The Dark World (2013),Released,English,1h 52m,"$170,000,000.00","$479,765,000.00",Chris Hemsworth,Natalie Portman,Tom Hiddleston,Anthony Hopkins,Christopher Eccleston,Jaimie Alexander,Full Cast & Crew
The Matrix (1999),Released,English,2h 16m,"$63,000,000.00","$463,517,383.00",Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving,Gloria Foster,Joe Pantoliano,Full Cast & Crew
Fast 8 (2017),In Production,English,-,"$50,000,000.00",-,Vin Diesel,Jason Statham,Dwayne Johnson,Kurt Russell,Michelle Rodriguez,Charlize Theron,Full Cast & Crew
Sin City: A Dame to Kill For (2014),Released,English,1h 42m,"$65,000,000.00","$39,407,616.00",Mickey Rourke,Jessica Alba,Josh Brolin,Joseph Gordon-Levitt,Rosario Dawson,Bruce Willis,Full Cast & Crew
Pirates of the Caribbean: The Curse of the Black Pearl (2003),Released,English,2h 23m,"$140,000,000.00","$655,011,224.00",Johnny Depp,Geoffrey Rush,Orlando Bloom,Keira Knightley,Jack Davenport,Kevin McNally,Full Cast & Crew
