Movie Name,Studio,Status,Language,Runtime,Budget,Revenue,8,9,10,11,12,13,14
Nightcrawler (2014),ORF,Released,English,1h 57m,"$8,500,000.00","$38,697,217.00",Jake Gyllenhaal,Rene Russo,Riz Ahmed,Bill Paxton,Kevin Rahm,Michael Hyatt,Full Cast & Crew
American Sniper (2014),WB,Released,English,2h 14m,"$58,800,000.00","$542,307,423.00",Bradley Cooper,Sienna Miller,Kyle Gallner,Cole Konis,Ben Reed,Elise Robertson,Full Cast & Crew
Forrest Gump (1994),Par.,Released,English,2h 22m,"$55,000,000.00","$677,945,399.00",Tom Hanks,Robin Wright,Gary Sinise,Mykelti Williamson,Sally Field,Michael Conner Humphreys,Full Cast & Crew
London Has Fallen (2016),Focus,Released,English,1h 39m,"$60,000,000.00","$195,725,584.00",Gerard Butler,Aaron Eckhart,Morgan Freeman,Angela Bassett,Melissa Leo,Robert Forster,Full Cast & Crew
Ouija (2014),Uni.,Released,English,1h 29m,"$5,000,000.00","$102,529,779.00",Olivia Cooke,Ana Coto,Daren Kagasoff,Douglas Smith,Vivis Colombetti,Bianca A. Santos,Full Cast & Crew
The Lion King (1994),BV,Released,English,1h 29m,"$45,000,000.00","$788,241,776.00",Jonathan Taylor Thomas,Matthew Broderick,James Earl Jones,Jeremy Irons,Moira Kelly,Niketa Calame,Full Cast & Crew
Night at the Museum: Secret of the Tomb (2014),Fox,Released,English,1h 37m,"$127,000,000.00","$349,424,282.00",Ben Stiller,Rami Malek,Rebel Wilson,Robin Williams,Owen Wilson,Dick Van Dyke,Full Cast & Crew
The Judge (2014),WB,Released,English,2h 21m,"$50,000,000.00","$83,719,388.00",Robert Downey Jr.,Robert Duvall,Vera Farmiga,Vincent D'Onofrio,Jeremy Strong,Billy Bob Thornton,Full Cast & Crew
The Lord of the Rings: The Return of the King (2003),NL,Released,English,3h 21m,"$94,000,000.00","$1,118,888,979.00",Elijah Wood,Ian McKellen,Viggo Mortensen,Liv Tyler,Orlando Bloom,John Rhys-Davies,Full Cast & Crew
Terminator 2: Judgment Day (1991),TriS,Released,English,2h 17m,"$100,000,000.00","$520,000,000.00",Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick,Earl Boen,Joe Morton,Full Cast & Crew
The Man from U.N.C.L.E. (2015),WB,Released,English,1h 56m,"$75,000,000.00","$108,145,109.00",Henry Cavill,Armie Hammer,Alicia Vikander,Elizabeth Debicki,Luca Calvani,Sylvester Groth,Full Cast & Crew
Sherlock Holmes (2009),WB,Released,English,2h 8m,"$90,000,000.00","$524,028,679.00",Robert Downey Jr.,Jude Law,Rachel McAdams,Mark Strong,Eddie Marsan,Robert Maillet,Full Cast & Crew
Jupiter Ascending (2015),WB,Released,English,2h 4m,"$176,000,003.00","$183,987,723.00",Mila Kunis,Channing Tatum,Sean Bean,Eddie Redmayne,Douglas Booth,Tuppence Middleton,Full Cast & Crew
Sex Tape (2014),Sony,Released,English,1h 37m,"$40,000,000.00","$126,069,509.00",Cameron Diaz,Jason Segel,Rob Corddry,Ellie Kemper,Rob Lowe,Nat Faxon,Full Cast & Crew
Pulp Fiction (1994),Mira.,Released,English,2h 34m,"$8,000,000.00","$213,928,762.00",John Travolta,Samuel L. Jackson,Uma Thurman,Bruce Willis,Ving Rhames,Harvey Keitel,Full Cast & Crew
Back to the Future (1985),Uni.,Released,English,1h 56m,"$19,000,000.00","$381,109,762.00",Michael J. Fox,Christopher Lloyd,Lea Thompson,Crispin Glover,Thomas F. Wilson,Claudia Wells,Full Cast & Crew
13 Hours: The Secret Soldiers of Benghazi (2016),Par.,Released,English,2h 24m,"$50,000,000.00","$69,411,370.00",Pablo Schreiber,John Krasinski,David Denman,Toby Stephens,Max Martini,James Badge Dale,Full Cast & Crew
Terminator Salvation (2009),WB,Released,English,1h 55m,"$200,000,000.00","$371,353,001.00",Christian Bale,Sam Worthington,Anton Yelchin,Moon Bloodgood,Bryce Dallas Howard,Helena Bonham Carter,Full Cast & Crew
